Net generation for all sectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.TSN-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=201801&end=202212&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 11 2024 08:12:14 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
Net generation for all sectors,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,ELEC.GEN..M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-US-99.M,373379,307058,321765,301057,339228,372145,411617,408352,356558,325070,322466,342292,359729,315282,326903,296953,330661,353239,410365,401732,360760,320518,315897,338536,342019,319698,309870,279846,304837,351967,409871,398536,333493,313703,301403,344523,349210,323900,311397,293308,320181,373856,405624,412865,347744,320202,314310,337104,373766,324311,324531,303994,342184,379134,422976,412134,351655,313949,321781,360257
United States : coal,thousand megawatthours,ELEC.GEN.COW-US-99.M,119284,82050,80626,73346,85227,101503,115376,115129,96544,87264,92819,100319,100905,79929,78352,59922,71885,78540,100771,94040,85707,66777,75549,72581,65140,56201,50731,40675,46527,65283,89709,91145,68407,59805,61182,78588,81240,87470,61904,53956,63873,87265,101537,101855,78877,62572,57426,60025,87588,70966,61019,55329,62532,73463,86415,85215,64998,54228,56377,73381
United States : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-US-99.M,5555,804,830,872,1040,1066,988,1047,1055,1015,1006,966,1413,815,816,782,937,957,1004,1047,923,942,899,988,915,749,691,626,691,818,914,887,755,876,800,940,936,1589,791,802,835,932,883,1197,950,894,887,968,3105,1114,959,749,834,897,1045,1001,942,952,911,3296
United States : petroleum coke,thousand megawatthours,ELEC.GEN.PC-US-99.M,965,754,642,666,517,834,913,879,799,562,656,795,800,692,574,401,737,563,791,684,581,200,333,463,633,540,704,614,610,801,837,787,439,351,612,751,702,660,645,422,534,453,681,747,638,655,783,591,564,621,500,528,596,683,488,576,648,610,568,744
United States : natural gas,thousand megawatthours,ELEC.GEN.NG-US-99.M,110442,98675,106742,98672,115565,131086,165075,162001,142085,123280,108265,109955,121808,112397,116059,104349,117297,138087,172282,175270,149938,131113,117959,131973,136084,128018,126187,110564,117186,143055,181568,173644,141397,131413,109811,127863,126530,111183,107019,107416,114676,149376,170189,172716,138214,131852,122433,127586,134948,114945,112477,105506,127094,155517,189042,188860,156948,133492,127523,140716
United States : other gases,thousand megawatthours,ELEC.GEN.OOG-US-99.M,1097,1092,1158,1099,1167,1091,1172,1301,1104,1016,1045,1120,1025,948,1086,948,1054,1009,1185,1147,1112,924,1047,1107,1155,1152,1047,802,884,867,937,1094,1013,918,950,999,1035,820,860,871,914,974,1046,1031,984,1062,871,930,1005,886,953,921,1036,987,1083,1008,987,968,911,978
United States : nuclear,thousand megawatthours,ELEC.GEN.NUC-US-99.M,74649,64790,67033,59133,67320,69688,72456,72282,64725,59397,63954,71657,73701,64715,65080,60581,67124,68805,72199,71911,66064,62033,64125,73074,74170,65911,63997,59170,64338,67205,69385,68982,65727,59362,61760,69871,71732,62954,63708,57092,63394,66070,68832,69471,64520,58401,62749,70720,70577,61852,63154,55290,63382,65715,68857,68897,63733,58945,62041,69094
United States : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-US-99.M,25064,24902,25861,28115,30444,27597,25100,22017,19166,19548,21913,22797,24798,22881,26334,27820,31982,28078,24875,22579,18526,18306,20218,21478,24498,25868,23823,23194,29976,27999,26742,23284,18679,18810,20893,21508,24560,20137,21220,19389,23309,23454,22098,20328,17022,17133,19373,23562,24198,21321,24436,20066,23359,25988,24567,21133,17026,14367,17898,20430
United States : other renewables,,ELEC.GEN.AOR-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : wind,thousand megawatthours,ELEC.GEN.WND-US-99.M,25599,23189,26464,26431,23953,24703,16447,19846,18520,21194,22016,24306,24301,22623,25773,28915,25779,22446,22101,19978,24513,27625,25184,26644,28121,29110,29320,29752,28378,30212,22866,23029,23186,28823,33129,32011,30060,26716,39205,36158,33787,26672,21716,27071,28998,32215,35751,39849,37416,37645,43031,46167,42124,33768,29475,24718,27331,32745,41199,38680
United States : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-US-99.M,3319,3896,5056,6057,6849,7415,6755,6695,5961,4970,3743,3110,3580,3836,5899,6752,7162,7971,8133,7877,6817,6093,4364,3453,4459,5561,6350,7921,9653,9654,10610,9315,7732,7085,5767,5091,5559,6330,9296,10892,12457,12197,12192,11967,11214,9268,7795,6091,7822,9027,11695,13402,15121,16053,15766,14503,13287,11942,8403,6777
United States : geothermal,thousand megawatthours,ELEC.GEN.GEO-US-99.M,1341,1274,1367,1188,1383,1300,1370,1367,1328,1273,1331,1446,1390,1293,1422,1254,1342,1328,1375,1393,1368,1141,984,1183,1148,1230,1465,1379,1362,1274,1331,1323,1288,1288,1399,1403,1347,1287,1242,1288,1335,1277,1351,1337,1343,1319,1366,1484,1470,1243,1286,1282,1327,1276,1341,1354,1329,1298,1397,1482
United States : biomass,thousand megawatthours,ELEC.GEN.BIO-US-99.M,5503,4951,5369,4828,5083,5191,5499,5387,4870,4959,4988,5203,5138,4540,4841,4317,4614,4740,5115,5174,4740,4636,4662,4988,4980,4632,4817,4401,4508,4279,4564,4721,4378,4329,4404,4698,4824,4258,4682,4250,4481,4557,4745,4784,4442,4275,4283,4670,4538,4203,4360,4078,4276,4417,4682,4585,4179,3993,4183,4353
United States : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-US-99.M,3686,3235,3547,3102,3352,3471,3749,3630,3281,3216,3264,3404,3465,3042,3217,2807,3051,3159,3498,3539,3211,3063,3137,3355,3326,3120,3170,2844,2919,2823,3022,3160,2895,2840,2951,3148,3229,2859,3108,2785,2966,3088,3248,3315,3005,2835,2890,3134,3106,2897,2934,2736,2905,3045,3276,3206,2864,2624,2865,3005
United States : other biomass,thousand megawatthours,ELEC.GEN.WAS-US-99.M,1817,1716,1822,1726,1732,1720,1750,1758,1590,1743,1724,1799,1672,1498,1625,1510,1564,1581,1617,1636,1530,1573,1525,1633,1654,1512,1647,1558,1590,1456,1541,1561,1483,1489,1453,1549,1595,1399,1574,1465,1514,1470,1497,1470,1437,1440,1393,1536,1432,1306,1426,1342,1371,1373,1406,1379,1315,1368,1318,1348
United States : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-US-99.M,-547,-315,-490,-377,-390,-433,-644,-747,-603,-492,-343,-522,-323,-389,-409,-103,-368,-385,-622,-579,-671,-373,-509,-529,-377,-247,-353,-325,-367,-499,-686,-784,-525,-423,-369,-368,-424,-425,-236,-197,-416,-376,-685,-670,-434,-427,-377,-445,-493,-412,-318,-265,-467,-589,-768,-640,-598,-434,-495,-548
United States : other,thousand megawatthours,ELEC.GEN.OTH-US-99.M,1109,994,1108,1028,1070,1104,1111,1146,1004,1084,1075,1139,1194,1003,1077,1015,1117,1101,1157,1211,1142,1100,1082,1133,1093,971,1092,1073,1090,1018,1093,1107,1016,1067,1067,1169,1109,921,1060,969,1003,1006,1041,1031,975,982,970,1073,1029,900,979,941,971,959,982,924,845,844,864,876
United States : all solar,thousand megawatthours,ELEC.GEN.TSN-US-99.M,4938,5663,7490,8796,9860,10474,9901,9712,8635,7361,5648,4885,5483,5895,8813,9997,10711,11575,11893,11488,10022,8926,6592,5500,6771,8184,9774,11736,13921,13923,15015,13514,11454,10395,8453,7580,8309,9270,13454,15502,17520,17304,17384,16891,15584,13089,11054,9061,11198,12744,16816,19073,21357,22282,22204,20697,18831,16964,12438,10475
United States : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-US-99.M,1619,1766,2434,2740,3011,3059,3146,3017,2674,2392,1905,1775,1903,2059,2914,3245,3549,3604,3760,3611,3205,2833,2228,2047,2313,2623,3424,3816,4267,4269,4405,4199,3722,3310,2687,2489,2750,2939,4158,4610,5063,5107,5192,4924,4370,3821,3259,2970,3376,3717,5121,5671,6236,6229,6438,6194,5544,5022,4035,3698
United States : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-US-99.M,3319,3896,5056,6057,6849,7415,6755,6695,5961,4970,3743,3110,3580,3836,5899,6752,7162,7971,8133,7877,6817,6093,4364,3453,4459,5561,6350,7921,9653,9654,10610,9315,7732,7085,5767,5091,5559,6330,9296,10892,12457,12197,12192,11967,11214,9268,7795,6091,7822,9027,11695,13402,15121,16053,15766,14503,13287,11942,8403,6777
